time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-17T07:21:05.350Z,18.4588,-68.2341,86,3.72,md,27,163,0.1573,0.08,pr,pr2021290003,2021-10-17T08:47:21.040Z,"22 km SE of Punta Cana, Dominican Republic",earthquake,1.37,1.35,0.21,13,reviewed,pr,pr
2021-10-17T06:40:38.360Z,18.9963,-64.9965,26,3.66,md,14,311,0.7458,0.22,pr,pr2021290002,2021-10-17T07:28:56.299Z,"72 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.44,14.43,0.08,6,reviewed,pr,pr
2021-10-17T05:59:24.520Z,18.9656,-64.8751,68,3.51,md,16,317,0.774,0.79,pr,pr2021290001,2021-10-17T08:38:11.040Z,"Virgin Islands",earthquake,8.119,13.24,0.06,5,reviewed,pr,pr
2021-10-17T05:57:17.870Z,18.9856,-65.0121,15,3.47,md,11,310,0.73,0.17,pr,pr2021290004,2021-10-17T08:33:33.755Z,"71 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,5.15,10.19,0.12,5,reviewed,pr,pr
2021-10-17T05:52:49.289Z,6.9637,-82.6361,10,4.2,mb,,202,1.589,0.43,us,us6000fvct,2021-10-17T06:40:29.040Z,"121 km SSE of Burica, Panama",earthquake,5.2,1.9,0.2,7,reviewed,us,us
2021-10-17T05:49:02.696Z,2.3775,128.5336,231.19,4.3,mb,,140,1.976,0.47,us,us6000fvcs,2021-10-17T06:17:26.040Z,"92 km NE of Tobelo, Indonesia",earthquake,9.8,6.8,0.107,26,reviewed,us,us
2021-10-17T05:18:52.873Z,-4.6094,153.0492,68.23,4.7,mb,,118,6.219,0.48,us,us6000fvcl,2021-10-17T06:07:39.040Z,"91 km ESE of Kokopo, Papua New Guinea",earthquake,6,7.6,0.072,58,reviewed,us,us
2021-10-17T04:58:06.881Z,6.2127,-82.6248,10,4.5,mb,,160,2.29,0.93,us,us6000fvcj,2021-10-17T05:23:03.040Z,"203 km S of Burica, Panama",earthquake,8.1,1.9,0.046,140,reviewed,us,us
2021-10-17T03:41:52.380Z,19.2111663818359,-155.427825927734,0.529999971389771,2.98,ml,43,136,,0.25999999,hv,hv72759322,2021-10-17T04:59:49.545Z,"5 km E of Pāhala, Hawaii",earthquake,0.5,0.370000005,3.02,32,automatic,hv,hv
2021-10-17T02:55:02.360Z,37.550499,-121.7006683,3.1,2.83,md,69,52,0.07277,0.09,nc,nc73640435,2021-10-17T22:11:16.207Z,"16km SSE of Livermore, CA",earthquake,0.16,0.55,0.1,99,automatic,nc,nc
2021-10-17T02:32:06.430Z,29.4073,130.7267,20.69,5.1,mb,,126,2.108,0.78,us,us6000fvc3,2021-10-17T02:54:17.040Z,"Ryukyu Islands, Japan",earthquake,6.5,5.1,0.046,154,reviewed,us,us
2021-10-17T02:30:57.016Z,-29.9485,-177.3935,10,5.1,mb,,121,0.823,1.33,us,us6000fvc2,2021-10-17T02:47:01.040Z,"Kermadec Islands, New Zealand",earthquake,8.4,1.9,0.095,36,reviewed,us,us
2021-10-17T01:12:40.867Z,28.7103,138.1871,525.99,4.8,mb,,60,3.886,0.72,us,us6000fvbm,2021-10-17T01:27:25.040Z,"Bonin Islands, Japan region",earthquake,10,8.5,0.037,228,reviewed,us,us
2021-10-17T00:08:03.340Z,19.1580009460449,-155.501495361328,31.8600006103516,2.6,ml,52,120,,0.100000001,hv,hv72759162,2021-10-17T16:22:39.370Z,"5 km SSW of Pāhala, Hawaii",earthquake,0.42,0.620000005,3.29,31,automatic,hv,hv
